Date mutation,valeur_fonciere,No voie,Type de voie,Code voie,Voie,Code postal,Commune,Code departement,Code commune,Surface Carrez du 1er lot,Nombre pieces principales,Surface terrain
10/01/2022,130000.0,5.0,RUE,0430,DE LA BRUYERE CENDREE,59139.0,WATTIGNIES,59,648,,2.0,
14/01/2022,187800.0,64.0,RUE,2920,DES MINIMES,59500.0,DOUAI,59,178,"87,41",3.0,
14/01/2022,170000.0,32.0,RUE,1140,DE CHANTILLY,59200.0,TOURCOING,59,599,,1.0,144.0
14/01/2022,170000.0,32.0,RUE,1140,DE CHANTILLY,59200.0,TOURCOING,59,599,,1.0,144.0
14/01/2022,170000.0,32.0,RUE,1140,DE CHANTILLY,59200.0,TOURCOING,59,599,,2.0,144.0
14/01/2022,170000.0,32.0,RUE,1140,DE CHANTILLY,59200.0,TOURCOING,59,599,,1.0,144.0
07/01/2022,210000.0,33.0,RUE,0650,DE LILLE,59250.0,HALLUIN,59,279,,2.0,
07/01/2022,210000.0,33.0,RUE,0650,DE LILLE,59250.0,HALLUIN,59,279,,2.0,
07/01/2022,210000.0,33.0,RUE,0650,DE LILLE,59250.0,HALLUIN,59,279,,2.0,
07/01/2022,210000.0,33.0,RUE,0650,DE LILLE,59250.0,HALLUIN,59,279,,2.0,
12/01/2022,248646.0,240.0,RUE,0622,BASTION SAINT ANDRE,59800.0,LILLE,59,350,,2.0,
12/01/2022,130000.0,7.0,RUE,1780,PAUL POUCHAIN,59280.0,ARMENTIERES,59,17,"49,05",2.0,
24/01/2022,523200.0,43.0,RUE,1185,JEAN JAURES,59700.0,MARCQ EN BAROEUL,59,378,,1.0,148.0
24/01/2022,523200.0,43.0,RUE,1185,JEAN JAURES,59700.0,MARCQ EN BAROEUL,59,378,,3.0,148.0
24/01/2022,523200.0,43.0,RUE,1185,JEAN JAURES,59700.0,MARCQ EN BAROEUL,59,378,,2.0,148.0
13/01/2022,190192.0,25.0,RUE,3300,DE LILLE,59100.0,ROUBAIX,59,512,,1.0,
13/01/2022,83500.0,6.0,RUE,1041,BOSSUET,59000.0,LILLE,59,350,,1.0,
13/01/2022,375000.0,33.0,RUE,0622,BASTION SAINT ANDRE,59800.0,LILLE,59,350,,3.0,
11/01/2022,165000.0,27.0,AV,1490,DU MARECHAL FOCH,59700.0,MARCQ EN BAROEUL,59,378,"39,89",2.0,
11/01/2022,631000.0,30.0,RUE,0110,DU BILLEMONT,59223.0,RONCQ,59,508,"53,24",2.0,
11/01/2022,631000.0,45.0,AV,0650,DU MARECHAL DE LATTRE,59350.0,SAINT-ANDRE,59,527,"57,19",2.0,
11/01/2022,631000.0,46.0,RUE,0410,DU GENERAL LECLERC,59350.0,SAINT-ANDRE,59,527,"53,96",2.0,
11/01/2022,631000.0,46.0,RUE,0410,DU GENERAL LECLERC,59350.0,SAINT-ANDRE,59,527,"76,94",3.0,
21/01/2022,278000.0,,AV,0290,GDS MOULINS DE PARIS,59520.0,MARQUETTE-LEZ-LILLE,59,386,,3.0,
13/01/2022,135000.0,305.0,RUE,1590,VERTE,59170.0,CROIX,59,163,"68,00",3.0,
14/01/2022,371200.0,140.0,RUE,0167,DU CHATEAU VALOIS,59118.0,WAMBRECHIES,59,636,,3.0,
